"Interest orders with 4 installments","Juros para pedidos em 4 parcelas"
"Interest orders with 5 installments","Juros para pedidos em 5 parcelas"
"Interest orders with 6 installments","Juros para pedidos em 6 parcelas"
"Interest orders with 7 installments","Juros para pedidos em 7 parcelas"
"Interest orders with 8 installments","Juros para pedidos em 8 parcelas"
"Interest orders with 9 installments","Juros para pedidos em 9 parcelas"
"Interest orders with 10 installments","Juros para pedidos em 10 parcelas"
"Interest orders with 11 installments","Juros para pedidos em 11 parcelas"
"Interest orders with 12 installments","Juros para pedidos em 12 parcelas"
"Sort Order","Ordenação"
"Payment From Applicable Countries","Pagamento de Países Aplicáveis"
"Payment From Specific Countries","Pagamento de Países Específicos"
"Minimum Order Total.","Valor Mínimo do Pedido"
"Only orders with an amount higher than this will show this method","Somente pedidos com um valor maior que este mostrarão este método"
"Maximum Order Total.","Valor Máximo do Pedido"
"Only orders with an amount lower than this will show this method","Somente pedidos com um valor menor que este mostrarão este método"
General,Geral
"Credentials and General Settings","Credenciais e Configurações Gerais"
"Credentials used for all PicPay services, if you don't have the private key, contact us.","Credenciais usadas para todos os serviços do PicPay, se você não tiver a chave privada, entre em contato conosco."
"API Key","Chave da API"
"Insert here your APi Key for your account","Insira aqui sua Chave da API para sua
"API Secret","Chave Secreta da API"
"Insert here the token used for authenticate your transaction, that token can be found in your PicPay Account","Insira aqui o token usado para autenticar sua transação, esse token pode ser encontrado em sua conta PicPay"
"Use Sandbox","Usar Ambiente de Testes"
"If enabled, the transaction will be done in PicPay's test environment","Se habilitado, a transação será feita no ambiente de testes do PicPay"
"Soft Descriptor","Soft Descriptor"
"Soft descriptor let merchants provide customers with a short information about the business that processed a charge","O descritor suave permite que os comerciantes forneçam aos clientes informações breves sobre o negócio que processou uma cobrança"
"Max 13 characters","Máximo de 13 caracteres"
"Show Payment Info at Success Page","Mostrar Informações de Pagamento na Página de Sucesso"
"If your store shows the payment info at success page, DON'T enable this feature","Se sua loja mostra as informações de pagamento na página de sucesso, NÃO habilite essa funcionalidade"
"Enable Log Requests","Habilitar Log de Requisições"
"Address Attributes","Atributos de Endereço"
"Address data that'll be sent to Credit Card","Dados de endereço que serão enviados para o Cartão de Crédito"
Street,Rua
Number,Número
Complement,Complemento
"A complementary information about the address","Uma informação complementar sobre o endereço"
District,Bairro
Version,Versão
Method,Método
"Increment ID","ID do Pedido"
"Created","Data de Criação"
"Status Code","Código de Status"
Request,Requisição
Response,Resposta
"Auth Token generated when creating the notification URL on PicPay","Token de Autenticação gerado ao criar a URL de notificação no PicPay"
"Seconds to expire the transaction, the value must be equal or greater than 600 seconds.", "Segundos para a transação expirar, o valor deve ser igual ou maior que 600 segundos."
"Expiration Time","Minutos para expiração"
"Checkout Instructions","Instruções do Checkout"
"Instructions to be shown in checkout's page, it can be HTML","Instruções para ser mostrada na página do checkout, pode ser HTML"
"Payment not identified. This order has been canceled or the QrCode has expired.","Pagamnto não identificado. O pedido foi cancelado ou o QrCode expirou."
"Payment received with success!", "Pagamento recebido com sucesso!"
"QRCode valid for: ","QrCode válido por: "
"Success Page Instructions","Instruções da Página de Sucesso"
"Instructions to be shown in success page, it can be HTML","Instruções para ser mostrada na página de sucesso, pode ser HTML"
"Payment received.", "Pagamento recebido."
"We were unable to authenticate your transaction, please try again.", "Não foi possível autenticar sua transação. Por favor, tente novamente."
"Place order if authentication fails", "Finalizar pedido mesmo que a autenticação falhe"
"Order minimum amount to use 3DS", "Valor mínimo do pedido para usar 3DS"
